date,ticker,experiment_mode,status,error_message,action,confidence,risk_score,target_price,action_score,score,target_position,position_gate_notes,position_calibration,evidence_scores,reasoning
2025-10-03,002230,multi_agent_full_debate,ok,,卖出,0.85,0.7,56.05,0.0,0.1388,0.25,,"{""target_position"": 0.25, ""raw_position"": 0.25, ""constraints"": [], ""mode"": ""none""}",{},短期技术超买（布林带上轨、RSI逼近超买区、量价背离）和基本面估值过高（亏损、负现金流、高PE），回调风险显著高于上行收益，建议减仓至25%。
2025-10-10,002230,multi_agent_full_debate,ok,,卖出,0.8,0.8,56.0,0.0,0.14,0.1,,"{""target_position"": 0.1, ""raw_position"": 0.1, ""constraints"": [], ""mode"": ""none""}",{},高位放量长阴确立短期动能衰竭，叠加高估值与负现金流，风险收益比极差，执行减仓卖出以保护资本。
2025-10-17,002230,multi_agent_full_debate,ok,,卖出,0.7,0.7,48.0,0.0,0.2025,0.25,,"{""target_position"": 0.25, ""raw_position"": 0.25, ""constraints"": [], ""mode"": ""none""}",{},空头趋势延续风险高于事件驱动反弹机会，均线空头排列、MACD死叉、放量下跌确认趋势，基本面净利润为负且经营现金流转负，风险收益比不佳，建议卖出减仓至25%。
2025-10-24,002230,multi_agent_full_debate,ok,,买入,0.6,0.5,53.5,1.0,0.725,0.2,,"{""target_position"": 0.2, ""raw_position"": 0.2, ""constraints"": [], ""mode"": ""none""}",{},基本面边际改善（三季度利润大增、现金流转正）与技术面底部确认（MACD收窄、RSI回升），但信息真空期降低置信度，采取小仓位（20%）在51-52.5元区间低吸，博弈短期修复至53-54元，止损49.5元。
2025-10-31,002230,multi_agent_full_debate,ok,,卖出,0.7,0.5,55.6,0.0,0.2375,0.1,,"{""target_position"": 0.1, ""raw_position"": 0.1, ""constraints"": [], ""mode"": ""none""}",{},盈利拐点利好已反映在价格中，技术面缩量上涨存在回调风险，风险收益比不对称，建议卖出降低仓位。
2025-11-07,002230,multi_agent_full_debate,ok,,卖出,0.85,0.75,52.52,0.0,0.1281,0.0,,"{""target_position"": 0.0, ""raw_position"": 0.0, ""constraints"": [], ""mode"": ""none""}",{},基本面亏损且现金流极弱，技术面均线空头、缩量未确认底背离，缺乏催化剂，风险收益比不利，建议清仓规避流动性风险和盈利预期修正风险。
2025-11-14,002230,multi_agent_full_debate,ok,,买入,0.55,0.4,51.5,1.0,0.72,0.1,,"{""target_position"": 0.1, ""raw_position"": 0.1, ""constraints"": [], ""mode"": ""none""}",{},采纳中性分析师建议，小仓位试探性买入，技术面超卖与基本面改善并存，严格止损于47.5元，等待放量站上MA5确认趋势反转。
2025-11-21,002230,multi_agent_full_debate,ok,,卖出,0.7,0.5,48.0,0.0,0.2375,0.0,,"{""target_position"": 0.0, ""raw_position"": 0.0, ""constraints"": [], ""mode"": ""none""}",{},基本面恶化（高估值、负经营现金流、负利息保障倍数）与技术面空头趋势（均线系统、MACD、成交量）共振，缺乏正面催化剂，风险回报比极差，建议清仓或空仓观望。
2025-11-28,002230,multi_agent_full_debate,ok,,持有,0.7,0.7,51.0,0.5,0.5,0.05,,"{""target_position"": 0.05, ""raw_position"": 0.05, ""constraints"": [], ""mode"": ""none""}",{},采纳中性分析师建议，用5%仓位试探性持有，设置严格止损，在控制风险前提下保留反弹机会。
2025-12-05,002230,multi_agent_full_debate,ok,,卖出,0.7,0.5,47.5,0.0,0.2375,0.0,,"{""target_position"": 0.0, ""raw_position"": 0.0, ""constraints"": [], ""mode"": ""none""}",{},趋势空头排列明确，估值134倍PE过高，缺乏短期催化剂，下行风险概率和幅度大于反弹收益，建议空仓或减仓。
2025-12-12,002230,multi_agent_full_debate,ok,,卖出,0.8,0.7,49.5,0.0,0.16,0.05,,"{""target_position"": 0.05, ""raw_position"": 0.05, ""constraints"": [], ""mode"": ""none""}",{},风险收益比极差：上行受限于MA60和50元关口，潜在涨幅仅0.6%，下行看向48.10，跌幅3.2%。估值泡沫（235倍PE）且基本面脆弱，缺乏短期催化剂，持有风险远大于收益。
2025-12-19,002230,multi_agent_full_debate,ok,,卖出,0.8,0.7,48.8,0.0,0.16,0.0,,"{""target_position"": 0.0, ""raw_position"": 0.0, ""constraints"": [], ""mode"": ""none""}",{},技术面空头排列，均线压制，成交量萎缩，基本面仍在亏损，期望收益为负，建议清仓规避风险。
2025-12-26,002230,multi_agent_full_debate,ok,,卖出,0.65,0.5,47.5,0.0,0.2562,0.0,,"{""target_position"": 0.0, ""raw_position"": 0.0, ""constraints"": [], ""mode"": ""none""}",{},技术面空头排列，均线压制，成交量不足，向上突破概率极低；基本面现金流薄弱，缺乏盈利支撑，风险收益比不佳；防守价值大于进攻。
2025-12-31,002230,multi_agent_full_debate,ok,,卖出,0.8,0.7,50.65,0.0,0.16,0.15,,"{""target_position"": 0.15, ""raw_position"": 0.15, ""constraints"": [], ""mode"": ""none""}",{},信息真空叠加技术超买（RSI 77）和现金流恶化（经营性现金流几近为零），市场尚未充分定价基本面硬伤，均值回归风险大于趋势延续，果断减仓至15%以下。
