source_file,signal_date,field_path,component,status,evidence_level,ok,source,vendor,rows,cutoff_date,retrieved_at,temporal_rule,warning,evidence,time_evidence_count
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/hengrui_weekly_2026q2_forecast/audit_reports/audit_600276_2026-04-03.json,2026-04-03,input_state.sentiment_report,news,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,"s are empty; evidence audit failed; usable_evidence_rows=0; EastMoney Guba, Xueqiu, and CNInfo IRM rows count as social evidence;",0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/hengrui_weekly_2026q2_forecast/audit_reports/audit_600276_2026-04-03.json,2026-04-03,input_state.sentiment_report,news,inferred,artifact_text_mention,,CNInfo,巨潮资讯|CNInfo,,,,,Source inferred from final artifact text; not a tool-call log.,"failed; usable_evidence_rows=0; EastMoney Guba, Xueqiu, and CNInfo IRM rows count as social evidence; announcements remain new",0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/hengrui_weekly_2026q2_forecast/audit_reports/audit_600276_2026-04-03.json,2026-04-03,input_state.news_report,news,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,医药（600276）财经新闻分析报告 ## 📰 新闻数据概览 **数据来源**：a-stock-data新闻/公告（东方财富网 + 巨潮资讯网） **分析标的**：江苏恒瑞医药股份有限公司（600276） **报告生成日期**：2026,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/hengrui_weekly_2026q2_forecast/audit_reports/audit_600276_2026-04-03.json,2026-04-03,input_state.news_report,news,inferred,artifact_text_mention,,CNInfo,巨潮资讯|CNInfo,,,,,Source inferred from final artifact text; not a tool-call log.,6）财经新闻分析报告 ## 📰 新闻数据概览 **数据来源**：a-stock-data新闻/公告（东方财富网 + 巨潮资讯网） **分析标的**：江苏恒瑞医药股份有限公司（600276） **报告生成日期**：2026年4月3日,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/hengrui_weekly_2026q2_forecast/audit_reports/audit_600276_2026-04-03.json,2026-04-03,input_state.fundamentals_report,fundamentals,inferred,artifact_text_mention,,BaoStock,BaoStock,,,,,Source inferred from final artifact text; not a tool-call log.,富，在研产品众多 - 现金流充裕，财务质量极佳 - 行业龙头地位稳固 ### 3.3 历史估值参考 根据BaoStock提供的财务指标数据： | 报告期 | ROE | 净利率 | 每股收益 | |--------|-----|-----,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/hengrui_weekly_2026q2_forecast/audit_reports/audit_600276_2026-04-03.json,2026-04-03,input_state.data_audit_report,news,structured,tool_header,,,,,2026-04-03,,,,,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/hengrui_weekly_2026q2_forecast/audit_reports/audit_600276_2026-04-03.json,2026-04-03,input_state.data_evidence_audit.fundamentals.rule,news,inferred,artifact_text_mention,,BaoStock,BaoStock,,,,,Source inferred from final artifact text; not a tool-call log.,"entals require valuation fields, audited statement rows, or BaoStock financial indicators disclosed by pubDate; announcements ar",0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/hengrui_weekly_2026q2_forecast/audit_reports/audit_600276_2026-04-03.json,2026-04-03,input_state.data_evidence_audit.social.rule,news,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,"EastMoney Guba, Xueqiu, and CNInfo IRM rows count as social evidence;",0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/hengrui_weekly_2026q2_forecast/audit_reports/audit_600276_2026-04-03.json,2026-04-03,input_state.data_evidence_audit.social.rule,news,inferred,artifact_text_mention,,CNInfo,巨潮资讯|CNInfo,,,,,Source inferred from final artifact text; not a tool-call log.,"EastMoney Guba, Xueqiu, and CNInfo IRM rows count as social evidence; announcements remain new",0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/hengrui_weekly_2026q2_forecast/audit_reports/audit_600276_2026-04-03.json,2026-04-03,input_state.skip_analysts.social,news,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,"s are empty; evidence audit failed; usable_evidence_rows=0; EastMoney Guba, Xueqiu, and CNInfo IRM rows count as social evidence;",0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/hengrui_weekly_2026q2_forecast/audit_reports/audit_600276_2026-04-03.json,2026-04-03,input_state.skip_analysts.social,news,inferred,artifact_text_mention,,CNInfo,巨潮资讯|CNInfo,,,,,Source inferred from final artifact text; not a tool-call log.,"failed; usable_evidence_rows=0; EastMoney Guba, Xueqiu, and CNInfo IRM rows count as social evidence; announcements remain new",0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/hengrui_weekly_2026q2_forecast/audit_reports/audit_600276_2026-04-10.json,2026-04-10,input_state.sentiment_report,news,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,"s are empty; evidence audit failed; usable_evidence_rows=0; EastMoney Guba, Xueqiu, and CNInfo IRM rows count as social evidence;",0
