date,ticker,experiment_mode,status,error_message,action,confidence,risk_score,target_price,action_score,score,target_position,position_gate_notes,reasoning,position_calibration,evidence_scores
2025-10-03,000651,multi_agent_full_debate,ok,,持有,0.7,0.5,39.2,0.5,0.5,0.18,,格力电器基本面极低估（低PE、高ROE、强劲现金流）与技术面空头趋势博弈，采纳中立分析师平衡方案，轻仓持有以捕获潜在超跌反弹，同时设置严格止损管理风险。,"{""target_position"": 0.18, ""raw_position"": 0.18, ""constraints"": [], ""mode"": ""none""}",{}
2025-10-10,000651,multi_agent_full_debate,ok,,卖出,0.7,0.5,37.75,0.0,0.2375,0.05,,营收连续下滑为结构性风险，技术面支撑脆弱，短期缺乏催化剂，价值陷阱风险高，建议卖出规避下行风险。,"{""target_position"": 0.05, ""raw_position"": 0.05, ""constraints"": [], ""mode"": ""none""}",{}
2025-10-17,000651,multi_agent_full_debate,ok,,买入,0.7,0.5,40.05,1.0,0.7625,0.18,,基于极低估值（PE 6.78倍）提供安全边际，但短期技术面偏弱、缺乏催化剂。采用18%轻仓试探，设置¥38.80敏感止损，平衡风险与收益。若放量突破¥40.05则右侧加仓。,"{""target_position"": 0.18, ""raw_position"": 0.18, ""constraints"": [], ""mode"": ""none""}",{}
2025-10-24,000651,multi_agent_full_debate,ok,,卖出,0.8,0.6,38.5,0.0,0.18,0.0,,周频周期内三季报不确定性优先，技术面无量支撑脆弱；但极端低估和优秀现金流提供安全边际，不允许空仓，减仓至30%观察仓。,"{""target_position"": 0.0, ""raw_position"": 0.0, ""constraints"": [], ""mode"": ""none""}",{}
2025-10-31,000651,multi_agent_full_debate,ok,,卖出,0.7,0.7,38.75,0.0,0.2025,0.1,,基于趋势纪律，在空头排列与极端低估的矛盾中，选择向安全分析师倾斜，减持至10%仓位，保留现金以防范下跌风险。,"{""target_position"": 0.1, ""raw_position"": 0.1, ""constraints"": [], ""mode"": ""none""}",{}
2025-11-07,000651,multi_agent_full_debate,ok,,卖出,0.7,0.5,39.1,0.0,0.2375,0.05,,短期胜率与赔率不利，技术面空头排列且催化剂缺失，建议减仓观望,"{""target_position"": 0.05, ""raw_position"": 0.05, ""constraints"": [], ""mode"": ""none""}",{}
2025-11-14,000651,multi_agent_full_debate,ok,,买入,0.7,0.5,40.35,1.0,0.7625,0.08,,基于极端低估的安全边际（PE7倍、PB1.07倍、ROE15%+）与可控的下行风险（硬止损38.47元），在短期催化剂真空背景下，采取分批建仓策略，目标仓位18%，以平衡风险收益比。,"{""target_position"": 0.08, ""raw_position"": 0.08, ""constraints"": [], ""mode"": ""none""}",{}
2025-11-21,000651,multi_agent_full_debate,ok,,卖出,0.85,0.75,39.25,0.0,0.1281,0.05,,技术面空头排列，成交量萎缩，向下破位风险显著高于上行；缺乏催化剂，低估值无法驱动短期股价；风险收益比不对称，优先管理风险。,"{""target_position"": 0.05, ""raw_position"": 0.05, ""constraints"": [], ""mode"": ""none""}",{}
2025-11-28,000651,multi_agent_full_debate,ok,,卖出,0.7,0.7,39.4,0.0,0.2025,0.0,,技术面弱势反弹，基本面关键数据缺失，风险收益比不对称，建议利用反弹减仓或清仓，持有现金等待确定性信号。,"{""target_position"": 0.0, ""raw_position"": 0.0, ""constraints"": [], ""mode"": ""none""}",{}
2025-12-05,000651,multi_agent_full_debate,ok,,卖出,0.6,0.6,39.3,0.0,0.26,0.35,,短期无催化剂，技术面动能衰竭，风险收益比不佳，数据质量制约，建议减仓至35%,"{""target_position"": 0.35, ""raw_position"": 0.35, ""constraints"": [], ""mode"": ""none""}",{}
2025-12-12,000651,multi_agent_full_debate,ok,,卖出,0.7,0.6,39.15,0.0,0.22,0.1,,成交量萎缩显示弱势，阻力位前缩量回调概率高，缺乏催化剂，优先控制风险，建议减仓至10%。,"{""target_position"": 0.1, ""raw_position"": 0.1, ""constraints"": [], ""mode"": ""none""}",{}
2025-12-19,000651,multi_agent_full_debate,ok,,卖出,0.7,0.5,39.0,0.0,0.2375,0.45,,成交量极度低迷，技术面超买且无放量确认突破；短期风险收益比严重不对称，年末流动性收缩下回调概率高；建议减仓至45%仓位以规避高概率回调风险，保留现金等待更佳入场点。,"{""target_position"": 0.45, ""raw_position"": 0.45, ""constraints"": [], ""mode"": ""none""}",{}
2025-12-26,000651,multi_agent_full_debate,ok,,持有,0.7,0.5,39.82,0.5,0.5,0.4,,基于坚实的基本面（低PE、高ROE、低负债、强现金流）提供安全边际，但短期技术面偏空（MACD死叉、RSI跌破50）且缺乏完整数据验证，权衡后选择40%仓位持有，等待价值回归或明确趋势信号。,"{""target_position"": 0.4, ""raw_position"": 0.4, ""constraints"": [], ""mode"": ""none""}",{}
2025-12-31,000651,multi_agent_full_debate,ok,,买入,0.7,0.5,39.78,1.0,0.7625,0.25,,在极端低估（PE<7、RSI 21.55）与下跌趋势并存下，用25%小仓位参与左侧反弹，博弈均值回归收益，同时设严格止损控制下行风险（总资产潜在损失<0.5%）。,"{""target_position"": 0.25, ""raw_position"": 0.25, ""constraints"": [], ""mode"": ""none""}",{}
