source_file,signal_date,field_path,component,ok,data_quality,data_source,data_vendor,rows,cutoff_date,warning,status,evidence
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-03.json,2026-04-03,input_state.sentiment_report,social,,,EastMoney,东方财富,,,Inferred from natural-language artifact text; not a structured tool log.,inferred,ty; evidence audit failed; usable_evidence_rows=0; only EastMoney Guba/Xueqiu public discussion rows count as social evid
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-03.json,2026-04-03,input_state.data_audit_report,news,,,,,,2026-04-03,,structured,
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-03.json,2026-04-03,input_state.data_evidence_audit.fundamentals.rule,news,,,BaoStock,BaoStock,,,Inferred from natural-language artifact text; not a structured tool log.,inferred,"ls require valuation fields, audited statement rows, or BaoStock financial indicators disclosed by pubDate; announcement"
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-03.json,2026-04-03,input_state.data_evidence_audit.social.rule,social,,,EastMoney,东方财富,,,Inferred from natural-language artifact text; not a structured tool log.,inferred,only EastMoney Guba/Xueqiu public discussion rows count as social evid
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-03.json,2026-04-03,input_state.skip_analysts.social,social,,,EastMoney,东方财富,,,Inferred from natural-language artifact text; not a structured tool log.,inferred,ty; evidence audit failed; usable_evidence_rows=0; only EastMoney Guba/Xueqiu public discussion rows count as social evid
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-10.json,2026-04-10,input_state.sentiment_report,social,,,EastMoney,东方财富,,,Inferred from natural-language artifact text; not a structured tool log.,inferred,ty; evidence audit failed; usable_evidence_rows=0; only EastMoney Guba/Xueqiu public discussion rows count as social evid
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-10.json,2026-04-10,input_state.data_audit_report,news,,,,,,2026-04-10,,structured,
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-10.json,2026-04-10,input_state.data_evidence_audit.fundamentals.rule,news,,,BaoStock,BaoStock,,,Inferred from natural-language artifact text; not a structured tool log.,inferred,"ls require valuation fields, audited statement rows, or BaoStock financial indicators disclosed by pubDate; announcement"
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-10.json,2026-04-10,input_state.data_evidence_audit.social.rule,social,,,EastMoney,东方财富,,,Inferred from natural-language artifact text; not a structured tool log.,inferred,only EastMoney Guba/Xueqiu public discussion rows count as social evid
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-10.json,2026-04-10,input_state.skip_analysts.social,social,,,EastMoney,东方财富,,,Inferred from natural-language artifact text; not a structured tool log.,inferred,ty; evidence audit failed; usable_evidence_rows=0; only EastMoney Guba/Xueqiu public discussion rows count as social evid
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-17.json,2026-04-17,input_state.sentiment_report,social,,,EastMoney,东方财富,,,Inferred from natural-language artifact text; not a structured tool log.,inferred,ty; evidence audit failed; usable_evidence_rows=0; only EastMoney Guba/Xueqiu public discussion rows count as social evid
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-17.json,2026-04-17,input_state.news_report,news,,,EastMoney,东方财富,,,Inferred from natural-language artifact text; not a structured tool log.,inferred,--| | 数据质量 | ✅ **良好**（DATA_QUALITY: ok=true） | | 数据来源 | 东方财富股票新闻 + 巨潮资讯公司公告 | | 时效性 | ✅ **高时效**（截止至当日19:30） | | 新闻数量
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-17.json,2026-04-17,input_state.news_report,news,,,CNInfo,巨潮资讯|CNInfo,,,Inferred from natural-language artifact text; not a structured tool log.,inferred,| ✅ **良好**（DATA_QUALITY: ok=true） | | 数据来源 | 东方财富股票新闻 + 巨潮资讯公司公告 | | 时效性 | ✅ **高时效**（截止至当日19:30） | | 新闻数量 | 3条（均为公司公
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-17.json,2026-04-17,input_state.data_audit_report,news,,,,,,2026-04-17,,structured,
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-17.json,2026-04-17,input_state.data_evidence_audit.fundamentals.rule,news,,,BaoStock,BaoStock,,,Inferred from natural-language artifact text; not a structured tool log.,inferred,"ls require valuation fields, audited statement rows, or BaoStock financial indicators disclosed by pubDate; announcement"
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-17.json,2026-04-17,input_state.data_evidence_audit.social.rule,social,,,EastMoney,东方财富,,,Inferred from natural-language artifact text; not a structured tool log.,inferred,only EastMoney Guba/Xueqiu public discussion rows count as social evid
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-17.json,2026-04-17,input_state.skip_analysts.social,social,,,EastMoney,东方财富,,,Inferred from natural-language artifact text; not a structured tool log.,inferred,ty; evidence audit failed; usable_evidence_rows=0; only EastMoney Guba/Xueqiu public discussion rows count as social evid
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-24.json,2026-04-24,input_state.sentiment_report,social,,,EastMoney,东方财富,,,Inferred from natural-language artifact text; not a structured tool log.,inferred,ty; evidence audit failed; usable_evidence_rows=0; only EastMoney Guba/Xueqiu public discussion rows count as social evid
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-24.json,2026-04-24,input_state.data_audit_report,news,,,,,,2026-04-24,,structured,
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-24.json,2026-04-24,input_state.data_evidence_audit.fundamentals.rule,news,,,BaoStock,BaoStock,,,Inferred from natural-language artifact text; not a structured tool log.,inferred,"ls require valuation fields, audited statement rows, or BaoStock financial indicators disclosed by pubDate; announcement"
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-24.json,2026-04-24,input_state.data_evidence_audit.social.rule,social,,,EastMoney,东方财富,,,Inferred from natural-language artifact text; not a structured tool log.,inferred,only EastMoney Guba/Xueqiu public discussion rows count as social evid
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-04-24.json,2026-04-24,input_state.skip_analysts.social,social,,,EastMoney,东方财富,,,Inferred from natural-language artifact text; not a structured tool log.,inferred,ty; evidence audit failed; usable_evidence_rows=0; only EastMoney Guba/Xueqiu public discussion rows count as social evid
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-05-01.json,2026-05-01,input_state.sentiment_report,social,,,EastMoney,东方财富,,,Inferred from natural-language artifact text; not a structured tool log.,inferred,ty; evidence audit failed; usable_evidence_rows=0; only EastMoney Guba/Xueqiu public discussion rows count as social evid
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-05-01.json,2026-05-01,input_state.news_report,news,,,EastMoney,东方财富,,,Inferred from natural-language artifact text; not a structured tool log.,inferred,**数据质量** | ✅ 数据完整（DATA_QUALITY: ok=true） | | **数据来源** | 东方财富证券新闻 + 巨潮资讯网公告（权威可靠） | | **近期股票新闻** | 近14天无经审计的独立股票新闻 |
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-05-01.json,2026-05-01,input_state.news_report,news,,,CNInfo,巨潮资讯|CNInfo,,,Inferred from natural-language artifact text; not a structured tool log.,inferred,✅ 数据完整（DATA_QUALITY: ok=true） | | **数据来源** | 东方财富证券新闻 + 巨潮资讯网公告（权威可靠） | | **近期股票新闻** | 近14天无经审计的独立股票新闻 | | **近期公司公告*
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-05-01.json,2026-05-01,input_state.fundamentals_report,fundamentals,,,BaoStock,BaoStock,,,Inferred from natural-language artifact text; not a structured tool log.,inferred,价进行分析。 #### **3. 估值分析** **市盈率（PE）**： * **TTM PE**：根据BaoStock提供的最新TTM EPS（66.05元）和当前股价（1356.77元）计算，当前**TTM PE约为20.54倍
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-05-01.json,2026-05-01,input_state.data_audit_report,news,,,,,,2026-05-01,,structured,
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-05-01.json,2026-05-01,input_state.data_evidence_audit.fundamentals.rule,news,,,BaoStock,BaoStock,,,Inferred from natural-language artifact text; not a structured tool log.,inferred,"ls require valuation fields, audited statement rows, or BaoStock financial indicators disclosed by pubDate; announcement"
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-05-01.json,2026-05-01,input_state.data_evidence_audit.social.rule,social,,,EastMoney,东方财富,,,Inferred from natural-language artifact text; not a structured tool log.,inferred,only EastMoney Guba/Xueqiu public discussion rows count as social evid
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/moutai_weekly_2026q2/audit_reports/audit_600519_2026-05-01.json,2026-05-01,input_state.skip_analysts.social,social,,,EastMoney,东方财富,,,Inferred from natural-language artifact text; not a structured tool log.,inferred,ty; evidence audit failed; usable_evidence_rows=0; only EastMoney Guba/Xueqiu public discussion rows count as social evid
