date,ticker,status,error_message,action,confidence,risk_score,target_price,action_score,score,reasoning,target_position
2026-04-03,300308,ok,,持有,0.75,0.5,750.0,0.5,0.5,中期均线多头排列完整（MA20/MA60分别为577.43/573.35元），RSI为57-58未超买，MACD死叉幅度极小（-0.508），基本面优秀（ROE 17.5%、毛利率46%、净利率32%），修正PE 20-25倍对应合理价位500-750元，当前605.52元处于估值合理区间。短期布林上轨637元压力及成交量不足构成观望理由，但不构成卖出依据。建议持有，轻仓者可在577-589区间适,0.5
2026-04-10,300308,ok,,持有,0.65,0.6,750.0,0.5,0.5,当前RSI 84.83、布林带115%严重超买，上行空间有限(3-9%)而下行风险明确(7-18%)，风险收益比不利不支持追高。但MACD无背离、均线多头排列显示中期趋势未破坏，基本面优秀(ROE 17.5%、净利率32.4%)提供支撑。PE 1.9倍、PB 0.31倍数据异常是最大未决风险，需核实后再决策。建议持有观望，等待¥667-627回调到位或¥760突破确认的更好赔率机会。止损位¥700,0.175
2026-04-17,300308,ok,,持有,0.7,0.8,735.0,0.5,0.5,技术面极度超买(RSI 94.15、布林带偏离103.8%)，均值回归概率极高；估值数据异常(PE 1.9倍)存在周期高点或数据失真风险；缺乏短期催化剂。报告建议减仓50%锁定利润，止损位设于¥728.35，等待¥720-750区间重新建仓机会。长期AI光模块逻辑成立，但短期回调风险显著，需严守止损纪律。,0.45
2026-04-24,300308,ok,,卖出,0.75,0.65,820.0,0.0,0.1906,RSI三周期同步超买（86/83/87）处于历史前5%极端区间，78%概率回调；PE=1.9倍、PB=0.31倍数据异常未经核实；价格偏离MA20达21.4%。情景分析显示回调概率85%，继续上涨概率仅15%，期望值为负。建议减仓50%-70%，空仓投资者当前不宜建仓。止损位¥832，跌破¥800清仓。,0.3
2026-05-01,300308,ok,,持有,0.45,0.65,880.0,0.5,0.5,保守分析师的'风险收益比失衡'论点更具说服力。短期技术面存在三重压力：RSI空头排列指向动能衰竭、回调时放量显示先知先觉资金减仓、¥865短期压力位难以突破。毛利率从48%降至42%表明竞争正在侵蚀定价权，当前PE 30-32倍处于行业估值中上部。虽有乐观情景（20%概率）指向¥880-920，但80%概率显示短期不会有太好表现。建议减仓至50%锁定部分收益，等待¥780-800区间的好机会再考虑,0.5
2026-05-08,300308,ok,,持有,0.7,0.5,954.0,0.5,0.5,基本面优异（ROE 17.5%、净利率32.4%、毛利率46.1%）提供确定性支撑，技术面中期趋势完整且AI算力需求具备1-3年景气确定性；但当前位置RSI过热、赔率对称（向上7.7%向下7.2%），PE/PB异常为已知不确定性，不支持追高加仓。40-50%仓位为攻守兼备的中间态：向上可等回调加仓参与主升浪，向下可在822元止损控制损失。未来5个交易日核心监测技术面变化与数据异常来源。,0.3
2026-05-15,300308,ok,,持有,0.55,0.65,1050.0,0.5,0.5,技术面给出四项警示信号（MACD顶背离、布林带94.8%分位、RSI三周期超买、量价背离）对抗一项支撑信号，短期调整概率显著大于上涨概率。当前价格¥1049.87处于基准情景区间上端，追高性价比不高。建议持有（偏向减仓），已有仓位者减至40%-45%，空仓者观望等待，止损位设置在¥945。,0.4
2026-05-22,300308,ok,,持有,0.7,0.55,1075.0,0.5,0.5,技术面均线多头排列完好，MACD持续放量，趋势尚未破坏；基本面ROE17.5%、毛利率46.1%支撑强劲；但当前位置距布林上轨仅8%空间，盈亏比不佳；PE1.9倍/PB0.31倍数据异常未解；周频信号5个交易日周期内更可能震荡整理。持仓3-5成观望，不追加仓位，止损988元，空仓者等待950-980区间或突破1123后回踩确认。,0.5
2026-05-29,300308,ok,,持有,0.65,0.55,1222.0,0.5,0.5,中期上升趋势未被破坏，但当前位置技术面超买压力明显（RSI三周期超买、股价接近布林带上轨），盈亏比恶化（向上空间约5.25%，向下风险7-15%）。建议已有持仓适度降仓至5成左右，空仓者等待1080-1100元附近更好买点。止损位设于1000-1013元。核心逻辑：趋势完好所以不空仓，性价比下降所以不加仓，利用反弹适度锁定利润。,0.5
2026-06-05,300308,ok,,持有,0.65,0.6,1200.0,0.5,0.5,技术面MA10（1172元）支撑处于临界状态，风险收益比不利（上行仅2.7%，下行约7%）。中长期均线多头排列未完全破坏，基本面ROE 17.5%和净利率32.4%仍有支撑，市场5832亿成交额显示关注度高。建议持有40%仓位，设置1150元硬止损，等待MA10方向明朗后再决策。,0.4
2026-06-12,300308,ok,,持有,0.55,0.5,1200.0,0.5,0.5,短期技术面偏弱但中期均线（MA20/MA60）支撑有效，成交量从583亿萎缩至18.6亿是最大隐忧，短期难以重现强势上涨。基本面质量尚可（ROE17.5%、毛利率46.1%），但PE1.9倍异常估值待解释。AI算力赛道中长期逻辑未破坏，建议维持现有仓位但不追加，空仓者可5-8%轻仓试探，建仓区间1130-1140元，止损位1110元，核心策略为等待成交量放大或股价有效突破1151元后再考虑加仓。,0.5
2026-06-19,300308,ok,,持有,0.65,0.65,1175.0,0.5,0.5,技术面超买信号明显（RSI 80.82、布林带偏离108.3%），天量后跳水表明机构调仓，短期回调风险较高。建议已有仓位减仓1/3锁定利润，空仓者等待¥1150-1200区间再考虑建仓。中长期产业趋势确立，但当前价格已充分反映乐观预期，风险收益比不支持追高。,0.5
2026-06-26,300308,ok,,持有,0.65,0.45,1316.0,0.5,0.5,融资净买入40.19亿元全市场第一，杠杆资金用真金白银表态，资金面信号权重最高；中期趋势未破，MACD维持多头格局，股价偏离MA20约1.6%、MA60约2.2%，属于回踩确认而非破位；ROE17.5%、净利率32.4%、毛利率46.1%显示基本面硬伤不存在。但短期技术面偏弱（股价在MA5下方运行）、估值数据异常未解释清楚、布林带下行空间大于上行空间，因此采取谨慎持有策略，保持4-5成仓位，目标价,0.5
2026-06-30,300308,ok,,持有,0.65,0.6,1345.0,0.5,0.5,委员会裁定持有40%-50%仓位。核心逻辑：1）PE 1.9x与ROE 17.5%数据矛盾，最可能源于口径不一致而非基本面问题；2）40.19亿元融资净买入代表真实专业资金信号；3）1244元（MA20）与布林带中轨形成共振支撑；4）当前处于震荡偏强格局，1270元位于布林带中轨偏上58.5%，趋势未破。止损位1210元（强制），基准目标1345元（减仓15-20%），乐观目标1394元。风险提示,0.25
