source_file,signal_date,field_path,component,status,evidence_level,ok,source,vendor,rows,cutoff_date,retrieved_at,temporal_rule,warning,evidence,time_evidence_count
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/300308_weekly_2026q2/audit_reports/audit_300308_2026-04-03.json,2026-04-03,input_state.sentiment_report,news,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,"s are empty; evidence audit failed; usable_evidence_rows=0; EastMoney Guba, Xueqiu, and CNInfo IRM rows count as social evidence;",0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/300308_weekly_2026q2/audit_reports/audit_300308_2026-04-03.json,2026-04-03,input_state.sentiment_report,news,inferred,artifact_text_mention,,CNInfo,巨潮资讯|CNInfo,,,,,Source inferred from final artifact text; not a tool-call log.,"failed; usable_evidence_rows=0; EastMoney Guba, Xueqiu, and CNInfo IRM rows count as social evidence; announcements remain new",0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/300308_weekly_2026q2/audit_reports/audit_300308_2026-04-03.json,2026-04-03,input_state.news_report,news,inferred,artifact_text_mention,,CNInfo,巨潮资讯|CNInfo,,,,,Source inferred from final artifact text; not a tool-call log.,# 中际旭创（300308）财经新闻分析报告 ## 📰 新闻数据概览 **数据来源**：A股市场官方披露（巨潮资讯网/CNInfo） **数据质量**：✅ 状态正常 **披露日期**：2026年3月31日（均为年度报告相关公告） **,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/300308_weekly_2026q2/audit_reports/audit_300308_2026-04-03.json,2026-04-03,input_state.fundamentals_report,market,inferred,artifact_text_mention,,BaoStock,BaoStock,,,,,Source inferred from final artifact text; not a tool-call log.,季报及行业动态，警惕估值回调风险。 --- *报告生成时间：2026年4月3日* *数据来源：2025年度审计报告、BaoStock财务指标、交易所公告*,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/300308_weekly_2026q2/audit_reports/audit_300308_2026-04-03.json,2026-04-03,input_state.data_audit_report,news,structured,tool_header,,,,,2026-04-03,,,,,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/300308_weekly_2026q2/audit_reports/audit_300308_2026-04-03.json,2026-04-03,input_state.data_evidence_audit.fundamentals.rule,news,inferred,artifact_text_mention,,BaoStock,BaoStock,,,,,Source inferred from final artifact text; not a tool-call log.,"entals require valuation fields, audited statement rows, or BaoStock financial indicators disclosed by pubDate; announcements ar",0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/300308_weekly_2026q2/audit_reports/audit_300308_2026-04-03.json,2026-04-03,input_state.data_evidence_audit.social.rule,news,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,"EastMoney Guba, Xueqiu, and CNInfo IRM rows count as social evidence;",0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/300308_weekly_2026q2/audit_reports/audit_300308_2026-04-03.json,2026-04-03,input_state.data_evidence_audit.social.rule,news,inferred,artifact_text_mention,,CNInfo,巨潮资讯|CNInfo,,,,,Source inferred from final artifact text; not a tool-call log.,"EastMoney Guba, Xueqiu, and CNInfo IRM rows count as social evidence; announcements remain new",0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/300308_weekly_2026q2/audit_reports/audit_300308_2026-04-03.json,2026-04-03,input_state.skip_analysts.social,news,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,"s are empty; evidence audit failed; usable_evidence_rows=0; EastMoney Guba, Xueqiu, and CNInfo IRM rows count as social evidence;",0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/300308_weekly_2026q2/audit_reports/audit_300308_2026-04-03.json,2026-04-03,input_state.skip_analysts.social,news,inferred,artifact_text_mention,,CNInfo,巨潮资讯|CNInfo,,,,,Source inferred from final artifact text; not a tool-call log.,"failed; usable_evidence_rows=0; EastMoney Guba, Xueqiu, and CNInfo IRM rows count as social evidence; announcements remain new",0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/300308_weekly_2026q2/audit_reports/audit_300308_2026-04-10.json,2026-04-10,input_state.sentiment_report,news,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,"s are empty; evidence audit failed; usable_evidence_rows=0; EastMoney Guba, Xueqiu, and CNInfo IRM rows count as social evidence;",0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/300308_weekly_2026q2/audit_reports/audit_300308_2026-04-10.json,2026-04-10,input_state.sentiment_report,news,inferred,artifact_text_mention,,CNInfo,巨潮资讯|CNInfo,,,,,Source inferred from final artifact text; not a tool-call log.,"failed; usable_evidence_rows=0; EastMoney Guba, Xueqiu, and CNInfo IRM rows count as social evidence; announcements remain new",0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/300308_weekly_2026q2/audit_reports/audit_300308_2026-04-10.json,2026-04-10,input_state.data_audit_report,news,structured,tool_header,,,,,2026-04-10,,,,,0
