date,ticker,status,error_message,action,confidence,risk_score,target_price,action_score,score,target_position,reasoning
2025-07-04,300308,ok,,卖出,0.7,0.65,140.0,0.0,0.2113,0.0,技术面RSI 74.25处于超买区间，布林带上轨146.9元仅距当前价138元约6.4%，而上行空间有限但下行支撑MA10(134.4元)和MA20(125.3元)较远，风险收益比失衡；估值面存在PE 1.9倍、PB 0.31倍等异常数据未得到合理解释，数据矛盾不可忽视；基本面虽AI光模块中长期逻辑成立，但短期需等待更好的买入价位。建议在140-145元区间分批减仓，止损位125元，空仓者等待12
2025-07-11,300308,ok,,持有,0.7,0.5,150.0,0.5,0.5,0.75,技术面短期压力真实（RSI 70.71、布林上轨5.9%），但中期均线系统完整（MA20=133.42元，MA60=130.58元）支撑有效；基本面盈利能力优秀（ROE 17.5%、净利率32.4%），但PE 1.9倍数据异常需核实；当前风险收益不对称（向上5-8% vs 向下7-10%）。建议：有仓位者持有为主，150-152元区间减仓20-30%锁定利润，设定138元和133.42元两道防线；
2025-07-18,300308,ok,,持有,0.7,0.55,185.0,0.5,0.5,0.5,技术面三重极端信号（RSI超买84.53、布林带突破、价格偏离均线）预示短期修正压力，但中期趋势结构（均线多头、MACD扩张）完好。当前价格追高赔率不划算（上行8-9% vs 下行13%+），建议持有观望。预计价格在165-185元区间震荡整理消化超买压力，等待回调至165-170元区间再考虑加仓。止损位155.61元为中期趋势生死线，跌破需果断减仓。
2025-07-25,300308,ok,,持有,0.65,0.55,196.5,0.5,0.5,0.5,MACD红柱从8-10萎缩至4.96，动能一月内衰减近半，RSI超买叠加价格偏离MA60溢价18.4%，三重压力下回调概率超70%。中长期AI算力逻辑仍成立，但短期技术风险明确。建议持有3-4成仓位，止损设159元，若回调至165-175区间可考虑加仓，涨至195-198区间可止盈。
2025-08-01,300308,ok,,持有,0.7,0.45,245.0,0.5,0.5,0.4,AI算力革命产业逻辑清晰，800G光模块渗透率提升空间广阔；公司基本面优秀（毛利率46.1%、净利率32.4%、ROE 17.5%）；均线多头排列未破，中期上升趋势延续。但短期技术面承压（RSI空头排列、布林带上轨压制），当前位置高位震荡概率大于直接突破。建议分批建仓，控制仓位不超过40%，止损位195元，目标区间220-270元，风险收益比1:1.5至1:4，整体有利。
2025-08-08,300308,ok,,持有,0.65,0.55,228.0,0.5,0.5,0.5,RSI指标处于高位（77.16），技术面存在回调风险；估值数据异常需警惕；方向选择不确定（中短期均线即将死叉）；中报披露前不确定性较高。建议持有但不追涨，等待更好的买入窗口（¥200-205或¥192-195区间）或突破确认（¥218以上）。
2025-08-15,300308,ok,,持有,0.7,0.55,262.5,0.5,0.5,0.5,中期均线系统（MA5>MA10>MA20>MA60）完好，趋势未破，光模块赛道长期逻辑成立，基本面优质；但短期面临RSI三周期空头排列、量价背离、高位滞涨等技术面压力，且估值数据无法核实。建议持有4成仓位，等待回调至230-235元或220-225元分批加仓，止损位设在220元和208元。若股价突破252元确认后，中期目标看260-265元。
2025-08-22,300308,ok,,持有,0.65,0.65,265.0,0.5,0.5,0.5,技术面三周期RSI均超77、布林带价格位置95.1%显示严重超买，回调概率显著大于继续上涨；当前价格277.50元处于基准区间上沿，向上空间仅3%-6%，向下风险达10%-12%；PE与PB内在矛盾反映市场对盈利可持续性存疑；成交量持续低迷缺乏大资金关注；周频时间框架下应保持20%-30%轻仓，等待250-260区间建仓机会或285元放量突破信号再考虑加仓。
2025-08-29,300308,ok,,持有,0.7,0.6,360.0,0.5,0.5,0.55,长期看好AI算力革命带来的光模块需求爆发，中际旭创基本面优质（ROE17.5%、净利率32.4%、毛利率46.1%），但短期技术面严重超买（RSI三周期>82、布林带96.7%、均线乖离率39.1%），且PE1.9倍异常可能蕴含未知风险。建议持有50-60%仓位，目标位360-380元，止损330元，保持40-50%现金灵活应对。
2025-09-05,300308,ok,,卖出,0.75,0.65,385.0,0.0,0.1906,0.0,当前中际旭创（300308）风险收益比不利，建议卖出减仓。主要依据：1）当前价位405.60元处于布林带86.8%分位，乖离率37.6%，技术面高位警示信号明显；2）上涨空间仅约8.7%（至441元），而下跌风险达10%以上，赔率不匹配；3）RSI高位、5日涨幅10.30%显示趋势尾声特征而非加速中期；4）PE仅1.9倍但ROE达17.5%，估值异常背后存隐忧；5）激进分析师的70%上涨概率假设缺
