source_file,signal_date,field_path,component,ok,data_quality,data_source,data_vendor,rows,cutoff_date,warning,status,evidence
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/gree_weekly_2025q4_range/audit_reports/audit_000651_2025-10-03.json,2025-10-03,input_state.sentiment_report,social,,,EastMoney,东方财富,,,Inferred from natural-language artifact text; not a structured tool log.,inferred,ty; evidence audit failed; usable_evidence_rows=0; only EastMoney Guba/Xueqiu public discussion rows count as social evid
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/gree_weekly_2025q4_range/audit_reports/audit_000651_2025-10-03.json,2025-10-03,input_state.data_audit_report,news,,,,,,2025-10-03,,structured,
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/gree_weekly_2025q4_range/audit_reports/audit_000651_2025-10-03.json,2025-10-03,input_state.data_evidence_audit.fundamentals.rule,news,,,BaoStock,BaoStock,,,Inferred from natural-language artifact text; not a structured tool log.,inferred,"ls require valuation fields, audited statement rows, or BaoStock financial indicators disclosed by pubDate; announcement"
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/gree_weekly_2025q4_range/audit_reports/audit_000651_2025-10-03.json,2025-10-03,input_state.data_evidence_audit.social.rule,social,,,EastMoney,东方财富,,,Inferred from natural-language artifact text; not a structured tool log.,inferred,only EastMoney Guba/Xueqiu public discussion rows count as social evid
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/gree_weekly_2025q4_range/audit_reports/audit_000651_2025-10-03.json,2025-10-03,input_state.skip_analysts.social,social,,,EastMoney,东方财富,,,Inferred from natural-language artifact text; not a structured tool log.,inferred,ty; evidence audit failed; usable_evidence_rows=0; only EastMoney Guba/Xueqiu public discussion rows count as social evid
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/gree_weekly_2025q4_range/audit_reports/audit_000651_2025-10-10.json,2025-10-10,input_state.sentiment_report,social,,,EastMoney,东方财富,,,Inferred from natural-language artifact text; not a structured tool log.,inferred,ty; evidence audit failed; usable_evidence_rows=0; only EastMoney Guba/Xueqiu public discussion rows count as social evid
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/gree_weekly_2025q4_range/audit_reports/audit_000651_2025-10-10.json,2025-10-10,input_state.data_audit_report,news,,,,,,2025-10-10,,structured,
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/gree_weekly_2025q4_range/audit_reports/audit_000651_2025-10-10.json,2025-10-10,input_state.data_evidence_audit.fundamentals.rule,news,,,BaoStock,BaoStock,,,Inferred from natural-language artifact text; not a structured tool log.,inferred,"ls require valuation fields, audited statement rows, or BaoStock financial indicators disclosed by pubDate; announcement"
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/gree_weekly_2025q4_range/audit_reports/audit_000651_2025-10-10.json,2025-10-10,input_state.data_evidence_audit.social.rule,social,,,EastMoney,东方财富,,,Inferred from natural-language artifact text; not a structured tool log.,inferred,only EastMoney Guba/Xueqiu public discussion rows count as social evid
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/gree_weekly_2025q4_range/audit_reports/audit_000651_2025-10-10.json,2025-10-10,input_state.skip_analysts.social,social,,,EastMoney,东方财富,,,Inferred from natural-language artifact text; not a structured tool log.,inferred,ty; evidence audit failed; usable_evidence_rows=0; only EastMoney Guba/Xueqiu public discussion rows count as social evid
