source_file,signal_date,field_path,component,ok,data_quality,data_source,data_vendor,rows,cutoff_date,warning,status,evidence
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/hengrui_weekly_2026q2_forecast/audit_reports/audit_600276_2026-04-03.json,2026-04-03,input_state.sentiment_report,social,,,EastMoney,东方财富,,,Inferred from natural-language artifact text; not a structured tool log.,inferred,"e empty; evidence audit failed; usable_evidence_rows=0; EastMoney Guba, Xueqiu, and CNInfo IRM rows count as social evide"
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/hengrui_weekly_2026q2_forecast/audit_reports/audit_600276_2026-04-03.json,2026-04-03,input_state.sentiment_report,news,,,CNInfo,巨潮资讯|CNInfo,,,Inferred from natural-language artifact text; not a structured tool log.,inferred,"ed; usable_evidence_rows=0; EastMoney Guba, Xueqiu, and CNInfo IRM rows count as social evidence; announcements remain"
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/hengrui_weekly_2026q2_forecast/audit_reports/audit_600276_2026-04-03.json,2026-04-03,input_state.news_report,news,,,EastMoney,东方财富,,,Inferred from natural-language artifact text; not a structured tool log.,inferred,00276）财经新闻分析报告 ## 📰 新闻数据概览 **数据来源**：a-stock-data新闻/公告（东方财富网 + 巨潮资讯网） **分析标的**：江苏恒瑞医药股份有限公司（600276） **报告生成日期**：
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/hengrui_weekly_2026q2_forecast/audit_reports/audit_600276_2026-04-03.json,2026-04-03,input_state.news_report,news,,,CNInfo,巨潮资讯|CNInfo,,,Inferred from natural-language artifact text; not a structured tool log.,inferred,新闻分析报告 ## 📰 新闻数据概览 **数据来源**：a-stock-data新闻/公告（东方财富网 + 巨潮资讯网） **分析标的**：江苏恒瑞医药股份有限公司（600276） **报告生成日期**：2026年4月3
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/hengrui_weekly_2026q2_forecast/audit_reports/audit_600276_2026-04-03.json,2026-04-03,input_state.fundamentals_report,fundamentals,,,BaoStock,BaoStock,,,Inferred from natural-language artifact text; not a structured tool log.,inferred,产品众多 - 现金流充裕，财务质量极佳 - 行业龙头地位稳固 ### 3.3 历史估值参考 根据BaoStock提供的财务指标数据： | 报告期 | ROE | 净利率 | 每股收益 | |--------|-----|-
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/hengrui_weekly_2026q2_forecast/audit_reports/audit_600276_2026-04-03.json,2026-04-03,input_state.data_audit_report,news,,,,,,2026-04-03,,structured,
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/hengrui_weekly_2026q2_forecast/audit_reports/audit_600276_2026-04-03.json,2026-04-03,input_state.data_evidence_audit.fundamentals.rule,news,,,BaoStock,BaoStock,,,Inferred from natural-language artifact text; not a structured tool log.,inferred,"ls require valuation fields, audited statement rows, or BaoStock financial indicators disclosed by pubDate; announcement"
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/hengrui_weekly_2026q2_forecast/audit_reports/audit_600276_2026-04-03.json,2026-04-03,input_state.data_evidence_audit.social.rule,social,,,EastMoney,东方财富,,,Inferred from natural-language artifact text; not a structured tool log.,inferred,"EastMoney Guba, Xueqiu, and CNInfo IRM rows count as social evide"
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/hengrui_weekly_2026q2_forecast/audit_reports/audit_600276_2026-04-03.json,2026-04-03,input_state.data_evidence_audit.social.rule,news,,,CNInfo,巨潮资讯|CNInfo,,,Inferred from natural-language artifact text; not a structured tool log.,inferred,"EastMoney Guba, Xueqiu, and CNInfo IRM rows count as social evidence; announcements remain"
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/hengrui_weekly_2026q2_forecast/audit_reports/audit_600276_2026-04-03.json,2026-04-03,input_state.skip_analysts.social,social,,,EastMoney,东方财富,,,Inferred from natural-language artifact text; not a structured tool log.,inferred,"e empty; evidence audit failed; usable_evidence_rows=0; EastMoney Guba, Xueqiu, and CNInfo IRM rows count as social evide"
