date,ticker,status,error_message,action,confidence,risk_score,target_price,action_score,score,reasoning,target_position
2026-04-03,300750,ok,,持有,0.65,0.5,395.0,0.5,0.5,当前379元位置盈亏比不理想，下行支撑365元（若跌破则扩至350元），上行空间约16元至395元。清明假期三天不确定性较大，RSI6=33超卖信号真实但量价配合不足。ROE 6%与净利率17.6%矛盾反映资产周转效率低下，中期基本面压力明确。综合预期未来5个交易日核心区间375-395元，建议持仓者持有观望，空仓者等待370-375元区间再考虑建仓。,0.5
2026-04-10,300750,ok,,持有,0.7,0.55,394.0,0.5,0.5,短期技术面超买明确（RSI6=68.48接近70阈值，布林带上轨历史回调概率超70%），估值面PE40-50倍已透支未来增长，风险收益比不对称。中期均线系统（MA20/MA60粘合向上）尚未破坏，趋势未终结。建议已有仓位持有并逢高减仓至50-60%，目标394元支撑位；空仓等待385-395元更好买点；394元为多空分水岭，393.70元为周频硬止损位。,0.6
2026-04-17,300750,ok,,持有,0.7,0.6,445.0,0.5,0.5,技术面RSI6=71.55、布林带94.5%分位提示高位回调风险，但均线多头排列未破、MACD红柱仍在放大表明中期趋势完好。基本面宁德时代24.8%毛利率、17.6%净利率及储能业务增量提供支撑。当前437元风险收益比不佳，建议在437-445元区间减仓25-30%保留70%仓位，止损位上移至420元，空仓者耐心等待410-420元买点。,0.5
2026-04-24,300750,ok,,持有,0.7,0.5,465.0,0.5,0.5,技术面均线多头排列、MACD扩张、RSI未背离支撑中期趋势，但短期风险累积：布林带83.5%分位、量价背离（涨幅6.4%而量未放大）、距上轨仅3.4%空间、PE/PB数据异常存在不确定性。建议持有35-40%仓位，止损位¥433（MA10），目标位¥465，核心操作区间¥435-460，趋势还在但子弹要省着用。,0.3
2026-05-01,300750,ok,,持有,0.7,0.5,450.0,0.5,0.5,中期均线MA20(420.53)和MA60(419.49)双重支撑有效，在418元止损位未被跌破前不宜割肉；当前价格436元距支撑仅3.5%空间，持有风险小于踏空风险；但PE/PB数据悖论未解、短期动能衰减、缺乏正向催化剂，应严格控制仓位在10-15%以内，等待445元站稳或455元有效突破后再考虑加仓；周频信号，关注5月中旬销量数据和5月底季报作为催化剂触发点。,0.1
2026-05-08,300750,ok,,持有,0.7,0.5,455.0,0.5,0.5,技术面处于中性偏弱区间，上下两难，非强势确认，不宜追涨杀跌；激进分析师1:7盈亏比计算存在严重缺陷，修正后实际约1:1至1:2；估值数据PE2.2倍真实性存疑，在数据方向不明时不宜重仓押注；行业竞争压力边际收窄护城河，宁德已从成长股进入成熟期龙头阶段；建议持有现有仓位，空仓者试探性建仓5-8%，单只股票仓位上限20%，等待放量突破445元或缩量回踩428-430元企稳的明确信号,0.2
2026-05-15,300750,ok,,持有,0.6,0.65,445.0,0.5,0.5,保守分析师观点更具说服力：技术面MACD负向喇叭口显示下跌动能正在扩大而非衰竭，RSI=37.02尚未进入超卖区间；基本面宁德时代ROA远低于比亚迪、总资产周转率差距5倍、特斯拉供应占比下降等竞争格局恶化问题被回避；¥418-421支撑已被测试3次，消耗效应下破位概率上升（悲观情景45%）；创业板20%涨跌停制度限制下单日最大亏损可达总账户2-3%。建议持有现有5%仓位，止损收紧至¥418，不建议,0.05
2026-05-22,300750,ok,,持有,0.6,0.5,430.0,0.5,0.5,技术面多空交织：RSI 26.06处于超卖区域存在反弹概率，但均线空头排列压制明显（MA5=414、MA10=423、MA20=432），MACD未见底背离；基本面17.6%净利率支撑有限下行空间；建议30-40%仓位分批建仓，止损位¥400。激进分析师忽视均线压力和尾部风险，保守分析师忽视RSI超卖反弹概率，中性框架风险收益比最优。,0.1
2026-05-29,300750,ok,,持有,0.5,0.5,432.0,0.5,0.5,技术面短期偏多但中期均线（MA20=432元）压制未解除，基本面成本端改善但产能过剩与价格战风险并存，加权期望收益仅0.7%接近零轴，当前价位非理想买点。建议持有35-45%仓位观望，突破427元放量确认可加仓，跌破405元减半仓，跌破400元清仓止损，等待MACD金叉确认等信号。,0.45
2026-06-05,300750,ok,,持有,0.6,0.5,420.0,0.5,0.5,当前技术面¥396-400布林带下轨提供支撑，MACD红柱出现显示空头动能衰减，RSI接近超卖区域但未真正进入，下跌空间有限。基本面毛利率24.8%、净利率17.6%仍处行业领先，储能毛利率17.5%高于行业平均，暂无恶化信号。激进加仓至40-50%风险过高（RSI仅32非真正超卖，假底部概率超60%），过度保守<20%可能错失低位布局机会。建议维持25-30%仓位观望，等待¥396-400区间多,0.2
2026-06-12,300750,ok,,持有,0.6,0.55,410.0,0.5,0.5,技术面MA10/MA20/MA60均线形成压力带（404-411元），成交量149万手低于180万手确认标准，RSI42.67处于中性偏弱区间。基本面ROE仅6%、ROA2.7%存在财务瑕疵，PE2.2倍数据异常。布林带下轨382元提供支撑，当前394.85元处相对低位。合理预期5个交易日内3%-5%收益，建议持有20%轻仓观望，等待突破405元连续3日站稳且放量确认信号后再考虑加仓。宁可错过不可,0.075
2026-06-19,300750,ok,,卖出,0.85,0.65,398.0,0.0,0.1494,PE 2.2倍极端低估值反映机构对盈利预测下调的提前定价，行业基本面结构性恶化（渗透率突破50%后存量竞争、比亚迪垂直整合侵蚀份额、固态电池替代风险），周频5日窗口不支持逆向重仓。当前390-395元区间应逢高减持至30%以下，空仓者不建仓，378元止损。,0.3
2026-06-26,300750,ok,,持有,0.7,0.55,395.0,0.5,0.5,分批建仓策略平衡风险与机会，当前价位继续杀跌性价比不高（布林带13%分位支撑），但技术面MACD死叉刚形成、均线空头排列，且锂价存货减值风险和电车销售子公司客户信任风险尚未完全释放，建议持有不超过25%仓位，等待400元放量突破确认趋势转强后右侧加仓，止损位设于370元。,0.25
2026-06-30,300750,ok,,持有,0.65,0.6,399.34,0.5,0.5,技术面明确偏空：MACD零轴下方运行、均线空头排列，短期布林带下轨373元支撑历史上曾被有效跌穿，存在破位风险。基本面风险更紧迫：ROE仅6%、储能电芯价格从0.9元跌至0.5元、价格战压缩利润空间、比亚迪垂直整合持续侵蚀份额，当前28-32倍PE安全边际不足。但从高点回调15-20%后市场情绪极度观望（各平台情绪评分均为零值），抛压可能阶段性衰竭，下方空间有限。建议已有持仓者维持仓位并设置止损位,0.2
