date,ticker,experiment_mode,status,error_message,action,confidence,risk_score,target_price,action_score,score,target_position,position_gate_notes,position_calibration,evidence_scores,p_up_5d,expected_return_5d,expected_excess_5d,downside_risk_5d,is_priced_in,forecast_reason,forecast_json,reasoning
2026-04-17,600276,multi_agent_full_debate,ok,,持有,0.65,0.35,60.0,0.5,0.5,0.65,,"{""target_position"": 0.65, ""raw_position"": 0.65, ""constraints"": [], ""mode"": ""none""}","{""trend_strength"": 3.5, ""reward_risk_score"": 3.5, ""catalyst_strength"": 4.0, ""drawdown_risk"": 3.5, ""data_quality"": 3.5, ""position_invalid_if"": ""收盘跌破54.60元（近期低点支撑失效）；成交量异常放大超过800万股且股价同步下跌（主力出货信号）；SHR-A2102临床数据出现安全性负面披露；医药集采超预期降价政策出台""}",0.6,0.035,0.015,-0.027,medium,SHR-A2102二次认定尚未被市场完全定价，但股价在利好公布当日不涨反跌1.99%反映短期情绪偏弱。5个交易日内催化剂难以快速兑现，震荡修复是基准情景。主要不确定性来自市场整体情绪和量能配合程度。,"{""p_up_5d"": 0.6, ""expected_return_5d"": 0.035, ""expected_excess_5d"": 0.015, ""downside_risk_5d"": -0.027, ""is_priced_in"": ""medium"", ""forecast_reason"": ""SHR-A2102二次认定尚未被市场完全定价，但股价在利好公布当日不涨反跌1.99%反映短期情绪偏弱。5个交易日内催化剂难以快速兑现，震荡修复是基准情景。主要不确定性来自市场整体情绪和量能配合程度。""}",激进分析师的8-9成仓位在周频窗口内风险暴露过大——5个交易日内催化剂不会突然兑现，基本面不会有重大变化，短期技术面走弱（MA5/MA10死叉、价跌量缩）需要整固时间。重仓博弈一个接近1:1的赔率不是合理的风险收益表达。保守分析师的5-6成仓位则过于保守——当前价格56.13元距支撑位55.57元仅1%空间，等回调可能错过机会，且基本面无懈可击（86%毛利率、21%净利润增速、145%现金流质量）
2026-04-24,600276,multi_agent_full_debate,ok,,持有,0.6,0.45,57.5,0.5,0.5,0.45,,"{""target_position"": 0.45, ""raw_position"": 0.45, ""constraints"": [], ""mode"": ""none""}","{""trend_strength"": 2.5, ""reward_risk_score"": 3.2, ""catalyst_strength"": 3.5, ""drawdown_risk"": 2.8, ""data_quality"": 3.5, ""position_invalid_if"": ""跌破54.00止损；医保局出台超预期降价政策（降幅>60%）；SHR-A1811临床安全性问题；上证指数单日跌幅>2.5%且恒瑞跑输大盘>1.5%""}",0.55,0.03,0.015,-0.035,medium,Q1业绩超预期利好刚披露尚未完全定价，技术面超卖区域提供较好建仓区间。关键不确定性在于市场短期情绪和量能能否配合。估值45倍PE处于历史中低位，安全边际优于高位入场。,"{""p_up_5d"": 0.55, ""expected_return_5d"": 0.03, ""expected_excess_5d"": 0.015, ""downside_risk_5d"": -0.035, ""is_priced_in"": ""medium"", ""forecast_reason"": ""Q1业绩超预期利好刚披露尚未完全定价，技术面超卖区域提供较好建仓区间。关键不确定性在于市场短期情绪和量能能否配合。估值45倍PE处于历史中低位，安全边际优于高位入场。""}","**决策基础：中性偏多持有，target_position 45%**

**主要上行证据：**
1. Q1净利润22.82亿元，同比+21.78%，超越市场悲观预期，这是刚披露的客观数据，尚未被完全定价
2. 经营现金流增长41.66%，毛利率维持86.60%，盈利质量优异
3. 400亿现金+10%负债率，财务安全性极高，主力无砸盘动机
4. SHR-A1811第11项突破性治疗认定、HRS9"
2026-05-01,600276,multi_agent_full_debate,ok,,持有,0.68,0.42,55.5,0.5,0.5,0.3,,"{""target_position"": 0.3, ""raw_position"": 0.3, ""constraints"": [], ""mode"": ""none""}","{""trend_strength"": 2.2, ""reward_risk_score"": 3.4, ""catalyst_strength"": 3.8, ""drawdown_risk"": 3.0, ""data_quality"": 3.5, ""position_invalid_if"": ""成交量连续3日低于5日均量的70%且股价未能站上¥54.83（MA5），或出现实质性利空公告（如临床失败、重大政策利空）""}",,,,,medium,技术超卖叠加Q1业绩超预期构成短期反弹基础，但成交量低迷显示机构尚未形成共识，PE 44倍处于历史中位数亦不便宜。短期上行空间约3-6%，需成交量放大确认。,"{""is_priced_in"": ""medium"", ""forecast_reason"": ""技术超卖叠加Q1业绩超预期构成短期反弹基础，但成交量低迷显示机构尚未形成共识，PE 44倍处于历史中位数亦不便宜。短期上行空间约3-6%，需成交量放大确认。""}","**核心判断：持有，仓位30%**

本次辩论中，看涨分析师提供了更扎实的基本面证据——Q1净利润同比增长21.78%至22.82亿元，毛利率86.60%维持高位，货币资金405亿元且负债率仅10.02%，财务健康度首屈一指。技术面RSI6=24.30接近超卖区间下沿，布林带下轨在¥53.94，当前价格向下空间有限。研发管线密集催化（11项突破性治疗认定集中在近期兑现）构成未来2-3周的重要事件驱"
2026-05-08,600276,multi_agent_full_debate,ok,,持有,0.6,0.55,55.0,0.5,0.5,0.25,,"{""target_position"": 0.25, ""raw_position"": 0.25, ""constraints"": [], ""mode"": ""none""}","{""trend_strength"": 1.5, ""reward_risk_score"": 3.5, ""catalyst_strength"": 3.2, ""drawdown_risk"": 3.0, ""data_quality"": 3.2, ""position_invalid_if"": ""股价有效跌破51.50元且次日无法收复，或T+1-T+3出现放量长阴（成交量超5日均量3倍且跌幅超3%），或大盘系统性下跌（沪深300单日跌幅超2%），或量能持续萎缩超过5个交易日无反弹迹象""}",0.58,0.045,0.02,-0.03,medium,技术面超卖（RSI16.54）与真实催化剂（HRS-3005获批公告）形成共振，短期均值回归概率较高；但量能缺失和趋势惯性限制上行空间，且催化剂为临床获批非商业化，短期直接驱动有限。当前价位price-in程度中等，HRS-3005当天仍下跌1.65%表明市场短期冷淡，但尾盘8分钟释放可能存在定价不完整。,"{""p_up_5d"": 0.58, ""expected_return_5d"": 0.045, ""expected_excess_5d"": 0.02, ""downside_risk_5d"": -0.03, ""is_priced_in"": ""medium"", ""forecast_reason"": ""技术面超卖（RSI16.54）与真实催化剂（HRS-3005获批公告）形成共振，短期均值回归概率较高；但量能缺失和趋势惯性限制上行空间，且催化剂为临床获批非商业化，短期直接驱动有限。当前价位price-in程度中等，HRS-3005当天仍下跌1.65%表明市场短期冷淡，但尾盘8分钟释放可能存在定价不完整。""}","**综合评估结论：持有，25%核心仓位**

一、主要上行证据
1. **技术面极端超卖**：RSI6=16.54处于近半年最极端超卖区域，历史案例显示超卖修复概率较高。虽然保守分析师质疑70%反弹概率的数据来源，但超卖本身是客观可观测的技术信号，不依赖回测数据。
2. **催化剂真实存在且可审计**：HRS-3005临床获批和SHR-2173临床获批均为白纸黑字的公告，可验证。激进分析师关于“收"
2026-05-15,600276,multi_agent_full_debate,ok,,买入,0.68,0.35,55.03,1.0,0.7805,0.6,,"{""target_position"": 0.6, ""raw_position"": 0.6, ""constraints"": [], ""mode"": ""none""}","{""trend_strength"": 2.0, ""reward_risk_score"": 4.0, ""catalyst_strength"": 4.0, ""drawdown_risk"": 2.5, ""data_quality"": 3.5, ""position_invalid_if"": ""收盘跌破51.92元（BMS协议出现实质性审批障碍；放量跌穿52.29元后连续2日无法收复；大盘系统性下跌超2%）""}",0.65,0.035,0.015,-0.035,medium,BMS首付款的定价滞后效应仍在发挥作用，协议披露后8.3%的跌幅反映的是技术面压力而非基本面恶化。MACD转红与布林带下轨支撑提供短期安全边际。Q3到账的确定性收益目前未被市场充分定价，但技术面弱势需1-2周消化。,"{""p_up_5d"": 0.65, ""expected_return_5d"": 0.035, ""expected_excess_5d"": 0.015, ""downside_risk_5d"": -0.035, ""is_priced_in"": ""medium"", ""forecast_reason"": ""BMS首付款的定价滞后效应仍在发挥作用，协议披露后8.3%的跌幅反映的是技术面压力而非基本面恶化。MACD转红与布林带下轨支撑提供短期安全边际。Q3到账的确定性收益目前未被市场充分定价，但技术面弱势需1-2周消化。""}","【核心判断】买入方向确定，target_position 60%。

【主要上行证据】
1. BMS合作6亿美元首付款约43亿人民币，相当于恒瑞年利润77亿的55%，这笔钱Q3确定性到账，不是或有收益。HSR审批是常规反垄断程序，历史通过率较高，不应将“监管不确定性”等同于“高风险”。
2. 当前价格53.79元距离布林带下轨52.29元仅1.5元，距离止损位51.92元仅3.5%。向上10-15"
2026-05-22,600276,multi_agent_full_debate,ok,,持有,0.65,0.55,52.5,0.5,0.5,0.35,,"{""target_position"": 0.35, ""raw_position"": 0.35, ""constraints"": [], ""mode"": ""none""}","{""trend_strength"": 2.0, ""reward_risk_score"": 3.2, ""catalyst_strength"": 2.5, ""drawdown_risk"": 3.0, ""data_quality"": 3.8, ""position_invalid_if"": ""收盘跌破49.50元（减仓至20%）或放量跌破49.00元（清仓）；或BMS合作出现重大负面进展""}",0.55,0.03,0.01,-0.02,medium,超卖+分红除权提供短期支撑，但MACD绿柱扩大显示下跌动能未衰竭，BMS合作Q3交割，短期催化有限。市场可能进入震荡筑底阶段，均值回归需要时间。,"{""p_up_5d"": 0.55, ""expected_return_5d"": 0.03, ""expected_excess_5d"": 0.01, ""downside_risk_5d"": -0.02, ""is_priced_in"": ""medium"", ""forecast_reason"": ""超卖+分红除权提供短期支撑，但MACD绿柱扩大显示下跌动能未衰竭，BMS合作Q3交割，短期催化有限。市场可能进入震荡筑底阶段，均值回归需要时间。""}","【最终决策：持有35%】

一、三方论点评估

激进分析师的致命缺陷在于混淆了""可能反弹""与""必然反弹""。他将RSI超卖描述为""教科书级别的进攻机会""，但忽视了MACD绿柱从-0.5扩大到-0.806这一明确的下行动能强化信号。超卖只是反弹的必要条件，不是充分条件。在均线完全空头排列的背景下，超卖区域往往是流动性陷阱而非安全边际。他的期望收益+3.2%计算依赖主观概率，且95%满仓建议违反分散化原"
2026-05-29,600276,multi_agent_full_debate,ok,,持有,0.65,0.35,52.17,0.5,0.5,0.4,,"{""target_position"": 0.4, ""raw_position"": 0.4, ""constraints"": [], ""mode"": ""none""}","{""trend_strength"": 3.0, ""reward_risk_score"": 3.5, ""catalyst_strength"": 3.5, ""drawdown_risk"": 3.0, ""data_quality"": 4.0, ""position_invalid_if"": ""收盘跌破47.50元止损位；连续3日无法站上50元整数关口；成交量萎缩至5日均量50%以下；6月3日业绩说明会释放明显负面信号（如集采扩大、下调指引）；大盘系统性风险（医药板块整体资金大幅流出）。""}",0.55,0.025,0.012,-0.025,medium,短期技术底部信号与基本面稳健形成共振，但中期均线压制未解除限制了上涨空间。6月3日业绩说明会为关键催化，若释放积极信号有望突破52.17元；若低预期则可能回踩布林下轨。当前价格已基本反映Q1业绩利好，6月催化剂能否超预期为盈亏核心。,"{""p_up_5d"": 0.55, ""expected_return_5d"": 0.025, ""expected_excess_5d"": 0.012, ""downside_risk_5d"": -0.025, ""is_priced_in"": ""medium"", ""forecast_reason"": ""短期技术底部信号与基本面稳健形成共振，但中期均线压制未解除限制了上涨空间。6月3日业绩说明会为关键催化，若释放积极信号有望突破52.17元；若低预期则可能回踩布林下轨。当前价格已基本反映Q1业绩利好，6月催化剂能否超预期为盈亏核心。""}","**综合辩论评估与最终决策**

一、主要上行证据

1. **基本面扎实且无恶化信号**：Q1净利润增速21.56%连续超越营收增速，毛利率86.60%、净利率28.02%维持高位，账上405亿现金占总资产57%，财务安全垫极厚。这是多空双方均认可的事实，构成持仓的核心支撑。

2. **短期技术面底部信号有效**：MA5（49.36元）已上穿MA10（50.27元）形成金叉，RSI呈现教科书级"
2026-06-05,600276,multi_agent_full_debate,ok,,持有,0.6,0.55,48.53,0.5,0.5,0.4,,"{""target_position"": 0.4, ""raw_position"": 0.4, ""constraints"": [], ""mode"": ""none""}","{""trend_strength"": 1.5, ""reward_risk_score"": 3.0, ""catalyst_strength"": 2.5, ""drawdown_risk"": 3.5, ""data_quality"": 3.5, ""position_invalid_if"": ""放量跌破45.16元布林下轨且次日无法收复；临床试验负面进展；大盘系统性下跌超3%引发流动性抛售""}",0.55,0.02,0.01,-0.04,medium,技术面超卖积累反弹动能但趋势未确认；基本面硬数据支持中期底部判断；短期催化剂（SHR-5421、BMS合作）兑现时间以年计，不构成5日窗口的立即驱动。中性偏谨慎。,"{""p_up_5d"": 0.55, ""expected_return_5d"": 0.02, ""expected_excess_5d"": 0.01, ""downside_risk_5d"": -0.04, ""is_priced_in"": ""medium"", ""forecast_reason"": ""技术面超卖积累反弹动能但趋势未确认；基本面硬数据支持中期底部判断；短期催化剂（SHR-5421、BMS合作）兑现时间以年计，不构成5日窗口的立即驱动。中性偏谨慎。""}","**核心判断依据：**

1. **上行证据（支撑持有）**：①Q1净利润增21.56%、毛利率86.6%、净利率28%，盈利质量改善是客观数据；②PE 38.5倍处于历史估值中枢偏下，安全边际存在；③4.05亿现金储备提供财务缓冲；④SHR-5421作为first-in-class药物代表管线升级方向，BMS战略合作彰显国际化潜力。这些证据共同支持'下行空间有限'的判断。

2. **下行风险（"
2026-06-12,600276,multi_agent_full_debate,ok,,持有,0.6,0.55,49.54,0.5,0.5,0.3,,"{""target_position"": 0.3, ""raw_position"": 0.3, ""constraints"": [], ""mode"": ""none""}","{""trend_strength"": 2.5, ""reward_risk_score"": 2.8, ""catalyst_strength"": 2.2, ""drawdown_risk"": 3.0, ""data_quality"": 3.0, ""position_invalid_if"": ""收盘跌破45.50元减仓至15%；收盘跌破45.05元（布林带下轨）清仓或大幅减仓至10%以下；连续三日成交量维持500万股以上且价格站稳49.54元可考虑加仓至40%""}",0.52,0.02,0.01,-0.05,medium,技术面RSI多头排列和MACD柱状图转正已部分price in当前反弹，但增速下行和量能不足的担忧尚未完全释放。若量能放大配合则有望突破49.54元，核心不确定性在于Q2财报前的估值压缩风险。,"{""p_up_5d"": 0.52, ""expected_return_5d"": 0.02, ""expected_excess_5d"": 0.01, ""downside_risk_5d"": -0.05, ""is_priced_in"": ""medium"", ""forecast_reason"": ""技术面RSI多头排列和MACD柱状图转正已部分price in当前反弹，但增速下行和量能不足的担忧尚未完全释放。若量能放大配合则有望突破49.54元，核心不确定性在于Q2财报前的估值压缩风险。""}","**核心判断：中性分析师的30%仓位建议最为务实**

激进分析师的40%仓位主要缺陷：
1. 65-70%信号成功率完全缺乏实证支撑，属主观假设
2. ""缩量等于主力吸筹""的逻辑跳跃太大，340万股更可能是散户博弈而非主力建仓
3. 0.382回撤位46.50作为止损本身承认了信号不硬核
4. 40%仓位在5日周期内无法用基本面验证，风险敞口偏大

保守分析师的20%上限虽有合理性，但过度忽视："
2026-06-19,600276,multi_agent_full_debate,ok,,持有,0.65,0.45,50.71,0.5,0.5,0.3,,"{""target_position"": 0.3, ""raw_position"": 0.3, ""constraints"": [], ""mode"": ""none""}","{""trend_strength"": 3.2, ""reward_risk_score"": 2.8, ""catalyst_strength"": 3.5, ""drawdown_risk"": 2.5, ""data_quality"": 3.8, ""position_invalid_if"": ""成交量连续3日萎缩至300万股以下；达尔西利新适应症遭监管问询；大盘系统性暴跌超5%""}",0.55,0.035,0.01,-0.02,medium,达尔西利新适应症已获批但尚未充分反映在股价中，医保谈判降价风险和技术面信号需确认使得上行空间受限。短期股价可能测试50-51区间但突破需要量能配合。,"{""p_up_5d"": 0.55, ""expected_return_5d"": 0.035, ""expected_excess_5d"": 0.01, ""downside_risk_5d"": -0.02, ""is_priced_in"": ""medium"", ""forecast_reason"": ""达尔西利新适应症已获批但尚未充分反映在股价中，医保谈判降价风险和技术面信号需确认使得上行空间受限。短期股价可能测试50-51区间但突破需要量能配合。""}","**综合评估**

激进分析师（38%仓位）和保守分析师（20-25%仓位）的核心分歧在于对催化剂有效性、MACD技术信号和估值定价的理解。我采用中性和折中立场，但有明确的偏向逻辑。

**主要上行证据**：
1. 达尔西利新增早期乳腺癌辅助治疗适应症，化学药品2.4类，属于实质性进展
2. DAWNA-A研究入组5274例中国患者，HR+/HER2-目标人群超26万，辅助治疗疗程5-10年
3."
