date,ticker,experiment_mode,status,error_message,action,confidence,risk_score,target_price,action_score,score,target_position,position_gate_notes,reasoning,position_calibration,evidence_scores
2026-04-03,600519,multi_agent_full_debate,ok,,卖出,0.7,0.6,1431.98,0.0,0.22,0.7,,短期技术回调概率高，缩量滞涨与均线多头背离，风险收益比为负，因此减仓至70%仓位以规避回调风险,"{""target_position"": 0.7, ""raw_position"": 0.7, ""constraints"": [], ""mode"": ""none""}",{}
2026-04-10,600519,multi_agent_full_debate,ok,,持有,0.7,0.5,1430.0,0.5,0.5,0.0,,多空力量均衡，缺乏短期催化剂，采用轻仓持有策略，在控制风险的同时保留参与机会，等待市场明确方向。,"{""target_position"": 0.0, ""raw_position"": 0.0, ""constraints"": [], ""mode"": ""none""}",{}
2026-04-17,600519,multi_agent_full_debate,ok,,买入,0.7,0.5,1415.0,1.0,0.7625,0.08,,技术面极度超卖（RSI<30、价格贴近布林下轨）与历史估值低位（PE<21倍）结合，构成均值回归机会。但基本面负增长确定性高、缺乏催化剂，故采用轻仓（16.5%）参与，设定明确止损位以控制下行风险。,"{""target_position"": 0.08, ""raw_position"": 0.08, ""constraints"": [], ""mode"": ""none""}",{}
2026-04-24,600519,multi_agent_full_debate,ok,,卖出,0.8,0.7,1430.0,0.0,0.16,0.025,,基本面恶化证据确凿：经营现金流同比大幅下降，合同负债减少，利润质量下降；赔率结构不利，上涨空间有限而下跌风险超过20%；信息真空期放大负面信号。激进分析师逻辑缺乏证据支撑。因此建议清仓观望，等待一季报确认基本面改善。,"{""target_position"": 0.025, ""raw_position"": 0.025, ""constraints"": [], ""mode"": ""none""}",{}
2026-05-01,600519,multi_agent_full_debate,ok,,卖出,0.85,0.7,1360.0,0.0,0.1388,0.1,,短期趋势惯性大于超卖反弹动能，催化剂不确定性高，静态低PE不敌动态趋势，周频决策下空头风险显著，建议减仓控制回撤。,"{""target_position"": 0.1, ""raw_position"": 0.1, ""constraints"": [], ""mode"": ""none""}",{}
2026-05-08,600519,multi_agent_full_debate,ok,,买入,0.55,0.5,1430.0,1.0,0.7063,0.25,,公司正在进行真金白银的注销式回购，均价1404元，当前股价低于回购均价4.3%，提供明确价值锚点；采用25%仓位和1327元硬止损控制下行风险；预期业绩说明会以稳定信心为主，利好概率较高。,"{""target_position"": 0.25, ""raw_position"": 0.25, ""constraints"": [], ""mode"": ""none""}",{}
2026-05-15,600519,multi_agent_full_debate,ok,,卖出,0.8,0.8,1288.0,0.0,0.14,0.0,,技术面空头趋势加速，基本面合同负债同比下降7.72%，回购规模小无法支撑价格，风险收益比不对称，建议清仓观望。,"{""target_position"": 0.0, ""raw_position"": 0.0, ""constraints"": [], ""mode"": ""none""}",{}
2026-05-22,600519,multi_agent_full_debate,ok,,卖出,0.8,0.8,1200.0,0.0,0.14,0.0,,趋势压倒超卖，风险收益比极差（上行约1.8% vs 下行约5%），且证据链一致指向空头，建议清仓规避趋势性下跌风险。,"{""target_position"": 0.0, ""raw_position"": 0.0, ""constraints"": [], ""mode"": ""none""}",{}
2026-05-29,600519,multi_agent_full_debate,ok,,卖出,0.7,0.5,1275.0,0.0,0.2375,0.0,,在技术面三重阻力、基本面增长拐点证据不足、回购利好兑现的三重压力下，贵州茅台风险收益比不佳，建议卖出减仓。,"{""target_position"": 0.0, ""raw_position"": 0.0, ""constraints"": [], ""mode"": ""none""}",{}
2026-06-05,600519,multi_agent_full_debate,ok,,持有,0.7,0.6,1260.0,0.5,0.5,0.3,,价值支撑明确但趋势压制明显，采取中性30%仓位持有，等待股东大会催化剂明确方向，严格止损1220元控制下行风险。,"{""target_position"": 0.3, ""raw_position"": 0.3, ""constraints"": [], ""mode"": ""none""}",{}
2026-06-12,600519,multi_agent_full_debate,ok,,卖出,0.7,0.5,1240.0,0.0,0.2375,0.0,,中期空头压制明显，成交量萎缩表明上涨缺乏动力，盈利增长停滞，短期反弹风险高，建议清仓或维持空仓，等待放量突破或回调企稳信号。,"{""target_position"": 0.0, ""raw_position"": 0.0, ""constraints"": [], ""mode"": ""none""}",{}
2026-06-19,600519,multi_agent_full_debate,ok,,卖出,0.8,0.7,1150.0,0.0,0.16,0.15,,空头趋势延续，资金结构性外流，基本面增长放缓，风险收益比为负，建议减仓至15%仓位以应对极小概率利好事件,"{""target_position"": 0.15, ""raw_position"": 0.15, ""constraints"": [], ""mode"": ""none""}",{}
2026-06-26,600519,multi_agent_full_debate,ok,,卖出,0.7,0.5,1159.0,0.0,0.2375,0.15,,趋势延续概率高于情绪反转，空头排列、MACD绿柱放大，催化剂不确定，激进分析师的赔率计算有误，因此选择卖出减仓至15%。,"{""target_position"": 0.15, ""raw_position"": 0.15, ""constraints"": [], ""mode"": ""none""}",{}
2026-06-30,600519,multi_agent_full_debate,ok,,持有,0.7,0.5,1180.0,0.5,0.5,0.15,,当前估值极具吸引力但增长放缓导致估值中枢下移风险真实，证据强度中等偏弱，15%仓位可在参与均值回归的同时控制下行风险，维持防御性持有等待明确信号。,"{""target_position"": 0.15, ""raw_position"": 0.15, ""constraints"": [], ""mode"": ""none""}",{}
